N, Avail
1, 0.84999973
3, 0.93927177
5, 0.97338861
7, 0.98788197
9, 0.99436881
11, 0.99734209
13, 0.99873432
15, 0.99938971
17, 0.99970753
19, 0.99985509
21, 0.99993017
23, 0.99996593
25, 0.99998256
27, 0.9999914
29, 0.99999577
31, 0.9999979
33, 0.99999903
35, 0.99999955
37, 0.99999985
39, 0.99999989
41, 0.99999991
43, 0.99999996
45, 0.99999998
47, 1
49, 1
2, 0.72250018
4, 0.89054473
6, 0.95266301
8, 0.97863913
10, 0.99013421
12, 0.99535828
14, 0.99779063
16, 0.99893846
18, 0.99948949
20, 0.99974994
22, 0.99987844
24, 0.99993951
26, 0.99996997
28, 0.99998513
30, 0.99999269
32, 0.99999627
34, 0.99999834
36, 0.99999898
38, 0.99999949
40, 0.99999965
42, 0.9999999
44, 0.99999998
46, 0.99999996
48, 0.99999998
